,Equities,Gov Bonds,Alternatives,HY Credit,Gold
1875-01-31,0.0,0.0,0.0,0.0,0.0
1875-02-28,0.2520926855584336,0.7478457157667429,0.0,0.0,0.0
1875-03-31,0.2521356270654442,0.747806911713496,0.0,0.0,0.0
1875-04-30,0.2520796874368789,0.7477595470441768,0.0,0.0,0.0
1875-05-31,0.25206611930163025,0.7477897590878391,0.0,0.0,0.0
1875-06-30,0.25207336472757874,0.7478326718088357,0.0,0.0,0.0
1875-07-31,0.2520863861557234,0.7477696637069291,0.0,0.0,0.0
1875-08-31,0.25208005028422825,0.7477672843667076,0.0,0.0,0.0
1875-09-30,0.2520608779426866,0.7478530743015832,0.0,0.0,0.0
1875-10-31,0.2521157429062779,0.747834995633142,0.0,0.0,0.0
1875-11-30,0.25205125676401097,0.7478370586377447,0.0,0.0,0.0
1875-12-31,0.2520678216006014,0.7478472243240517,0.0,0.0,0.0
1876-01-31,0.2520692563572807,0.7477810761195618,0.0,0.0,0.0
1876-02-29,0.25207641641361495,0.7478257398753214,0.0,0.0,0.0
1876-03-31,0.252120466063494,0.7477553214943645,0.0,0.0,0.0
1876-04-30,0.2521157071464837,0.7478531018197929,0.0,0.0,0.0
1876-05-31,0.2520972970068793,0.7478277620099789,0.0,0.0,0.0
1876-06-30,0.252100379714758,0.7478456615273196,0.0,0.0,0.0
1876-07-31,0.25206706347251445,0.7478209330863734,0.0,0.0,0.0
1876-08-31,0.25207006296518136,0.7477767815097948,0.0,0.0,0.0
1876-09-30,0.25208290374514997,0.7477803084535823,0.0,0.0,0.0
1876-10-31,0.2521333208270561,0.74778362984073,0.0,0.0,0.0
1876-11-30,0.2521308976795781,0.7478207081759322,0.0,0.0,0.0
1876-12-31,0.2521384755442646,0.747790129731926,0.0,0.0,0.0
1877-01-31,0.2521411653462702,0.7478513906985248,0.0,0.0,0.0
1877-02-28,0.2520920637844345,0.7477863631701341,0.0,0.0,0.0
1877-03-31,0.25209024683385095,0.7477667384760237,0.0,0.0,0.0
1877-04-30,0.25212660158878436,0.7478265517314598,0.0,0.0,0.0
1877-05-31,0.25213603189164985,0.7478077651600901,0.0,0.0,0.0
