,Equities,Gov Bonds,Alternatives,HY Credit,Gold
1875-01-31,0.0,0.0,0.0,0.0,0.0
1875-02-28,0.4393961380790312,0.5605764469310808,0.0,0.0,0.0
1875-03-31,0.43157196729393865,0.5684163090629072,0.0,0.0,0.0
1875-04-30,0.43154725474359784,0.5683361178077607,0.0,0.0,0.0
1875-05-31,0.43155636307567946,0.5683887140692861,0.0,0.0,0.0
1875-06-30,0.431543298194317,0.5684162909361746,0.0,0.0,0.0
1875-07-31,0.431499914822293,0.5683545962555203,0.0,0.0,0.0
1875-08-31,0.43153535292873313,0.5683365166957801,0.0,0.0,0.0
1875-09-30,0.4315574355360075,0.5684091740463084,0.0,0.0,0.0
1875-10-31,0.4315617736608447,0.5683967966320814,0.0,0.0,0.0
1875-11-30,0.4236205608535072,0.5763187461937269,0.0,0.0,0.0
1875-12-31,0.42363851143851083,0.5763046216969671,0.0,0.0,0.0
1876-01-31,0.4236151876265073,0.5763040859216263,0.0,0.0,0.0
1876-02-29,0.42359414874638013,0.5762889838326274,0.0,0.0,0.0
1876-03-31,0.40750948712114987,0.5923624706983471,0.0,0.0,0.0
1876-04-30,0.4236146772000797,0.5762437998591481,0.0,0.0,0.0
1876-05-31,0.4236044521880047,0.5762844596975079,0.0,0.0,0.0
1876-06-30,0.42355848396747825,0.5763328379214466,0.0,0.0,0.0
1876-07-31,0.42356507009858385,0.5762624237598079,0.0,0.0,0.0
1876-08-31,0.4235980081342044,0.5762861072910789,0.0,0.0,0.0
1876-09-30,0.4236155960005948,0.57630744733193,0.0,0.0,0.0
1876-10-31,0.42361925478710843,0.5763047297843564,0.0,0.0,0.0
1876-11-30,0.4235719742697072,0.5762962020388545,0.0,0.0,0.0
1876-12-31,0.4235681257072341,0.5763295712010512,0.0,0.0,0.0
1877-01-31,0.42364379883603503,0.5763172845778558,0.0,0.0,0.0
1877-02-28,0.4235721808948433,0.5762506959543979,0.0,0.0,0.0
1877-03-31,0.4236000458530787,0.5763292333758221,0.0,0.0,0.0
1877-04-30,0.4315709823626286,0.5683389801560682,0.0,0.0,0.0
1877-05-31,0.43155704955613544,0.5683793138713494,0.0,0.0,0.0
1877-06-30,0.43153502805887817,0.5683044149986723,0.0,0.0,0.0
1877-07-31,0.42360115272763915,0.5763413877048279,0.0,0.0,0.0
1877-08-31,0.4236307166688405,0.5763049756061511,0.0,0.0,0.0
1877-09-30,0.40748844421522795,0.5924451113553763,0.0,0.0,0.0
1877-10-31,0.40748460859962987,0.5923533879267666,0.0,0.0,0.0
1877-11-30,0.40747705594768424,0.5923770430571876,0.0,0.0,0.0
1877-12-31,0.40751523044398125,0.5923611960572941,0.0,0.0,0.0
1878-01-31,0.40751477296601296,0.5924508945252289,0.0,0.0,0.0
1878-02-28,0.4075033999280415,0.5923836249004959,0.0,0.0,0.0
1878-03-31,0.4074971331328457,0.5923463214238553,0.0,0.0,0.0
1878-04-30,0.3993139688224379,0.6005595963205846,0.0,0.0,0.0
1878-05-31,0.3992991031422774,0.600648513920798,0.0,0.0,0.0
1878-06-30,0.3993462431351733,0.6006388178433896,0.0,0.0,0.0
1878-07-31,0.3992960588037629,0.6005671669197676,0.0,0.0,0.0
1878-08-31,0.39934245494744025,0.6006208046517194,0.0,0.0,0.0
1878-09-30,0.3993297200862838,0.6005922269894711,0.0,0.0,0.0
1878-10-31,0.3992735399177384,0.6006096173987827,0.0,0.0,0.0
1878-11-30,0.3992801631550849,0.6005474544981607,0.0,0.0,0.0
1878-12-31,0.39100340347222645,0.6088766070412246,0.0,0.0,0.0
1879-01-31,0.3910393097832925,0.6088653218421773,0.0,0.0,0.0
1879-02-28,0.3909800922523463,0.6089280759586431,0.0,0.0,0.0
1879-03-31,0.39103499600529307,0.6088892331918172,0.0,0.0,0.0
1879-04-30,0.39096854349606197,0.6089356911328854,0.0,0.0,0.0
1879-05-31,0.3826129553781599,0.6173684839458233,0.0,0.0,0.0
1879-06-30,0.3826071633060949,0.6173262374887762,0.0,0.0,0.0
1879-07-31,0.39099529063036215,0.608855648854418,0.0,0.0,0.0
1879-08-31,0.3909927725939911,0.6089399714654041,0.0,0.0,0.0
1879-09-30,0.3825549256895127,0.6172746852057169,0.0,0.0,0.0
1879-10-31,0.38258027096137837,0.6173526648282851,0.0,0.0,0.0
1879-11-30,0.38262178610574116,0.6173299766552456,0.0,0.0,0.0
1879-12-31,0.38251260552540445,0.6173701553741835,0.0,0.0,0.0
1880-01-31,0.3825744904042778,0.617286566148852,0.0,0.0,0.0
1880-02-29,0.37399848049072787,0.6259117404087555,0.0,0.0,0.0
1880-03-31,0.3740288100238336,0.625864717981383,0.0,0.0,0.0
1880-04-30,0.3826207521919573,0.6173122624252354,0.0,0.0,0.0
1880-05-31,0.38260322689339354,0.6173546280036961,0.0,0.0,0.0
1880-06-30,0.38252051033848666,0.6173312526101167,0.0,0.0,0.0
1880-07-31,0.3825533373635489,0.6172810683665272,0.0,0.0,0.0
1880-08-31,0.38252629523928,0.6173701390243683,0.0,0.0,0.0
1880-09-30,0.3825411725305476,0.6173200583288404,0.0,0.0,0.0
1880-10-31,0.3739669156621337,0.6258518501029398,0.0,0.0,0.0
1880-11-30,0.3740006953347675,0.6258774614807753,0.0,0.0,0.0
1880-12-31,0.3740329752397992,0.6258355651856815,0.0,0.0,0.0
1881-01-31,0.37404448530977746,0.6259038530531676,0.0,0.0,0.0
1881-02-28,0.37399692425780073,0.6259185442775149,0.0,0.0,0.0
1881-03-31,0.37405861108318805,0.625858855959268,0.0,0.0,0.0
1881-04-30,0.3740303644847507,0.625912322357112,0.0,0.0,0.0
1881-05-31,0.3653546587002253,0.6345666062613392,0.0,0.0,0.0
1881-06-30,0.36532580980492385,0.6345519709798737,0.0,0.0,0.0
1881-07-31,0.3739836528713586,0.6258329076641591,0.0,0.0,0.0
1881-08-31,0.37407293854405266,0.625837103086703,0.0,0.0,0.0
1881-09-30,0.3739860422365191,0.6258708779478671,0.0,0.0,0.0
1881-10-31,0.37405268815141685,0.6258573320755701,0.0,0.0,0.0
1881-11-30,0.3740184689831365,0.6258933997030678,0.0,0.0,0.0
1881-12-31,0.3740134586460542,0.6258417064572164,0.0,0.0,0.0
1882-01-31,0.37401430292622656,0.6258567875372444,0.0,0.0,0.0
1882-02-28,0.37399521913191636,0.6258448868184493,0.0,0.0,0.0
1882-03-31,0.3740188456423224,0.6258680996806629,0.0,0.0,0.0
1882-04-30,0.37396709148928375,0.6259124541979141,0.0,0.0,0.0
1882-05-31,0.37406167362487364,0.6258805282223157,0.0,0.0,0.0
1882-06-30,0.3740367989901652,0.6258882150715194,0.0,0.0,0.0
1882-07-31,0.37402741536787587,0.6258933583803318,0.0,0.0,0.0
1882-08-31,0.37396758183123996,0.6258463909473199,0.0,0.0,0.0
1882-09-30,0.3740357239992335,0.6258475441915676,0.0,0.0,0.0
1882-10-31,0.37396470908821045,0.6258443281715454,0.0,0.0,0.0
1882-11-30,0.37396777867789344,0.6258858004340516,0.0,0.0,0.0
1882-12-31,0.3740107820786731,0.625882057358673,0.0,0.0,0.0
1883-01-31,0.37397069375006614,0.6258955788997942,0.0,0.0,0.0
1883-02-28,0.3826088872188916,0.6173297798080949,0.0,0.0,0.0
1883-03-31,0.3740628318852069,0.6258358217016603,0.0,0.0,0.0
1883-04-30,0.3740365586236519,0.6258628821105024,0.0,0.0,0.0
1883-05-31,0.37403653246779656,0.625853727829939,0.0,0.0,0.0
1883-06-30,0.37396772991062893,0.6258460074014327,0.0,0.0,0.0
1883-07-31,0.37402472906793477,0.6258813018563543,0.0,0.0,0.0
1883-08-31,0.38257825825640523,0.6172820521370717,0.0,0.0,0.0
1883-09-30,0.38256134989032003,0.6173660388880718,0.0,0.0,0.0
1883-10-31,0.38255798108103833,0.617291231769777,0.0,0.0,0.0
1883-11-30,0.38260542646792317,0.6173468933496179,0.0,0.0,0.0
1883-12-31,0.3825892873908215,0.6172891335735995,0.0,0.0,0.0
1884-01-31,0.38253008407792854,0.6173030737936599,0.0,0.0,0.0
1884-02-29,0.38253349958153765,0.6173337667412143,0.0,0.0,0.0
1884-03-31,0.3825700034633463,0.6172812884535949,0.0,0.0,0.0
1884-04-30,0.38260909239890073,0.6173625733803859,0.0,0.0,0.0
1884-05-31,0.39102399419403117,0.6088674710442694,0.0,0.0,0.0
1884-06-30,0.3909819187648688,0.6088735496752747,0.0,0.0,0.0
1884-07-31,0.39098281663739204,0.6088950554926131,0.0,0.0,0.0
1884-08-31,0.3909594476923252,0.608915995598785,0.0,0.0,0.0
1884-09-30,0.39104320234600337,0.6088586004079855,0.0,0.0,0.0
1884-10-31,0.39097103028078334,0.608921241186981,0.0,0.0,0.0
1884-11-30,0.39100319823330537,0.6089106159017531,0.0,0.0,0.0
1884-12-31,0.3910014698508486,0.6089080960899254,0.0,0.0,0.0
1885-01-31,0.34756093941810945,0.652338619237312,0.0,0.0,0.0
1885-02-28,0.33833785191238447,0.6615279907359073,0.0,0.0,0.0
1885-03-31,0.3475059969329466,0.652400610626369,0.0,0.0,0.0
1885-04-30,0.347548341594482,0.6523487509834814,0.0,0.0,0.0
1885-05-31,0.34756328351423194,0.6524317975990697,0.0,0.0,0.0
1885-06-30,0.34747299363603,0.6524011194830593,0.0,0.0,0.0
1885-07-31,0.34752926404692414,0.6524012198680373,0.0,0.0,0.0
1885-08-31,0.3475645796689736,0.652380558255664,0.0,0.0,0.0
1885-09-30,0.34746974598458724,0.6523817780960327,0.0,0.0,0.0
1885-10-31,0.3383640071611086,0.6615158138473249,0.0,0.0,0.0
1885-11-30,0.33837857926639375,0.6615560196065936,0.0,0.0,0.0
1885-12-31,0.3383305813615776,0.6615871750210267,0.0,0.0,0.0
1886-01-31,0.33829176379064413,0.6615323933525912,0.0,0.0,0.0
1886-02-28,0.33834148575626094,0.66152410662471,0.0,0.0,0.0
1886-03-31,0.33835440125382266,0.6615218019949963,0.0,0.0,0.0
1886-04-30,0.3383786067980267,0.6615930194942781,0.0,0.0,0.0
1886-05-31,0.3383647005232734,0.6615903573626369,0.0,0.0,0.0
1886-06-30,0.338322641936799,0.6615626332796885,0.0,0.0,0.0
1886-07-31,0.3382742038698978,0.6615943161725465,0.0,0.0,0.0
1886-08-31,0.3383213177325592,0.6615571442052717,0.0,0.0,0.0
1886-09-30,0.33837247805575743,0.6615462760202203,0.0,0.0,0.0
